# ARGUMENTS FOR TRAINING
# path_for_training_data: ../pdb_pt
# path_for_data_files: ../data_files
# path_for_outputs: ../train_output
# previous_checkpoint: 
# num_epochs: 300
# save_model_every_n_epochs: 10
# reload_data_every_n_epochs: 2
# num_examples_per_epoch: 5000
# batch_size: 3000
# max_protein_length: 5000
# hidden_dim: 128
# num_encoder_layers: 3
# num_decoder_layers: 3
# num_neighbors: 48
# dropout: 0.1
# backbone_noise: 0.2
# rescut: 3.5
# debug: False
# gradient_norm: -1.0
# mixed_precision: True
# rerun: True
# suffix: 
Epoch	Train	Validation
epoch: 124, step: 67780, time: 157.0, train: 5.134, valid: 4.728, train_acc: 0.488, valid_acc: 0.512
epoch: 125, step: 68327, time: 164.0, train: 5.140, valid: 4.759, train_acc: 0.487, valid_acc: 0.510
epoch: 126, step: 68874, time: 156.8, train: 5.121, valid: 4.746, train_acc: 0.488, valid_acc: 0.511
epoch: 127, step: 69421, time: 162.1, train: 5.140, valid: 4.752, train_acc: 0.487, valid_acc: 0.511
epoch: 128, step: 69968, time: 156.9, train: 5.119, valid: 4.713, train_acc: 0.489, valid_acc: 0.513
epoch: 129, step: 70515, time: 163.7, train: 5.132, valid: 4.738, train_acc: 0.488, valid_acc: 0.511
epoch: 130, step: 71062, time: 156.8, train: 5.116, valid: 4.732, train_acc: 0.489, valid_acc: 0.511
epoch: 131, step: 71609, time: 164.2, train: 5.117, valid: 4.764, train_acc: 0.489, valid_acc: 0.510
epoch: 132, step: 72156, time: 156.7, train: 5.096, valid: 4.731, train_acc: 0.490, valid_acc: 0.513
epoch: 133, step: 72702, time: 161.4, train: 5.143, valid: 4.705, train_acc: 0.487, valid_acc: 0.513
epoch: 134, step: 73248, time: 156.5, train: 5.118, valid: 4.707, train_acc: 0.489, valid_acc: 0.513
epoch: 135, step: 73795, time: 163.7, train: 5.124, valid: 4.734, train_acc: 0.489, valid_acc: 0.512
epoch: 136, step: 74342, time: 156.7, train: 5.103, valid: 4.709, train_acc: 0.490, valid_acc: 0.513
epoch: 137, step: 74889, time: 163.8, train: 5.113, valid: 4.735, train_acc: 0.489, valid_acc: 0.511
epoch: 138, step: 75436, time: 156.6, train: 5.094, valid: 4.722, train_acc: 0.490, valid_acc: 0.512
epoch: 139, step: 75982, time: 164.2, train: 5.107, valid: 4.709, train_acc: 0.490, valid_acc: 0.513
epoch: 140, step: 76528, time: 156.7, train: 5.089, valid: 4.700, train_acc: 0.490, valid_acc: 0.514
epoch: 141, step: 77074, time: 161.9, train: 5.088, valid: 4.702, train_acc: 0.490, valid_acc: 0.513
epoch: 142, step: 77620, time: 156.6, train: 5.074, valid: 4.695, train_acc: 0.491, valid_acc: 0.515
epoch: 143, step: 78166, time: 161.6, train: 5.082, valid: 4.719, train_acc: 0.491, valid_acc: 0.513
epoch: 144, step: 78712, time: 156.6, train: 5.063, valid: 4.729, train_acc: 0.492, valid_acc: 0.512
epoch: 145, step: 79258, time: 163.8, train: 5.138, valid: 4.701, train_acc: 0.488, valid_acc: 0.516
epoch: 146, step: 79804, time: 156.7, train: 5.114, valid: 4.701, train_acc: 0.489, valid_acc: 0.514
